Article Number,Subject,Relation,Attributes
21,Crpd Article 21,Has crpd text,"  States Parties shall take all appropriate measures to ensure that persons with disabilities can exercise the right to freedom of expression and opinion, including the freedom to seek, receive and impart information and ideas on an equal basis with others and through all forms of communication of their choice, as defined in article 2 of the present Convention, including by:
a) Providing information intended for the general public to persons with disabilities in accessible formats and technologies appropriate to different kinds of disabilities in a timely manner and without additional cost;
b) Accepting and facilitating the use of sign languages, Braille, augmentative and alternative communication, and all other accessible means, modes and formats of communication of their choice by persons with disabilities in official interactions;
c) Urging private entities that provide services to the general public, including through the Internet, to provide information and services in accessible and usable formats for persons with disabilities;
d) Encouraging the mass media, including providers of information through the Internet, to make their services accessible to persons with disabilities;
e) Recognizing and promoting the use of sign languages.
"
21,Crpd Article 21 ,Has subtopic,equity 
21,equity ,has definition (disability wiki) ,the quality of being fair and impartial
21,equity,has wiki data code ,missing
21,Crpd Article 21,Has subtopic,freedom of expression 
,freedom of expression ,Mentioned in crpd article,21
21,freedom of expression ,Has wikidata code,missing
21,freedom of expression ,has definition (disability wiki) ,right to hold your own opinions and to express them freely without government interference
21,Crpd Article 21,Has subtopic,access to information 
21,access to information ,Has wikidata code,Q55603120
,access to information ,Mentioned in crpd article,21
21,access to information ,Has wikidata definition,"ability for an individual to seek, receive, and impart information effectively"
21,access to information ,Has crpd definition,"People with disabilities should be provided with sign languages, Braille, augmentative and alternative communication, and all other accessible means, modes and formats of communication of their choice by persons with disabilities in official interactions;"
22,Crpd Article 22,Has crpd text," 1. No person with disabilities, regardless of place of residence or living arrangements, shall be subjected to arbitrary or unlawful interference with his or her privacy, family, home or correspondence or other types of communication or to unlawful attacks on his or her honor and reputation. Persons with disabilities have the right to the protection of the law against such interference or attacks; 2. States Parties shall protect the privacy of personal, health and rehabilitation information of persons with disabilities on an equal basis with others."
22,Crpd Article 22,Has subtopic,right to privacy 
,right to privacy ,has wiki data code ,Q8354932
22,right to privacy ,Has wikidata definition,legal tradition restraining actions threatening individual privacy
22,Crpd Article 22 ,Has subtopic,equity 
22,equity ,has definition (disability wiki) ,the quality of being fair and impartial
22,equity,has wiki data code ,missing
22,right to privacy ,Has wikidata definition,legal tradition restraining actions threatening individual privacy
22,right to privacy ,Has wikidata code,Q8354932
,right to privacy ,Mentioned in crpd article,22
23,Crpd Article 23,Has crpd text,"  1. States Parties shall take effective and appropriate measures to eliminate discrimination against persons with disabilities in all matters relating to marriage, family, parenthood and relationships, on an equal basis with others, so as to ensure that:
a) The right of all persons with disabilities who are of marriageable age to marry and to found a family on the basis of free and full consent of the intending spouses is recognized;
b) The rights of persons with disabilities to decide freely and responsibly on the number and spacing of their children and to have access to age-appropriate information, reproductive and family planning education are recognized, and the means necessary to enable them to exercise these rights are provided;
c) Persons with disabilities, including children, retain their fertility on an equal basis with others.
2. States Parties shall ensure the rights and responsibilities of persons with disabilities, with regard to guardianship, wardship, trusteeship, adoption of children or similar institutions, where these concepts exist in national legislation; in all cases the best interests of the child shall be paramount. States Parties shall render appropriate assistance to persons with disabilities in the performance of their child-rearing responsibilities.
3. States Parties shall ensure that children with disabilities have equal rights with respect to family life. With a view to realizing these rights, and to prevent concealment, abandonment, neglect and segregation of children with disabilities, States Parties shall undertake to provide early and comprehensive information, services and support to children with disabilities and their families.
4. States Parties shall ensure that a child shall not be separated from his or her parents against their will, except when competent authorities subject to judicial review determine, in accordance with applicable law and procedures, that such separation is necessary for the best interests of the child. In no case shall a child be separated from parents on the basis of a disability of either the child or one or both of the parents.
5. States Parties shall, where the immediate family is unable to care for a child with disabilities, undertake every effort to provide alternative care within the wider family, and failing that, within the community in a family setting.
"
23,Crpd Article 23 ,Has subtopic,equity 
22,equity ,has definition (disability wiki) ,the quality of being fair and impartial
22,equity,has wiki data code ,missing
23,Crpd Article 23 ,Has subtopic,respect for home and family 
,respect for home and family ,Mentioned in crpd article,23
23,respect for home and family ,Has wikidata code,missing 
23,respect for home and family ,requires - wiki data - definition ,"Discuss with Racheal: Discrimination must be eliminated in all areas related to   marriage, family, parenthood and relationships, on an equal basis with others, access to age appropriate family planning information, retain fertility, retain guardianship, prevent abandonment and neglect, separation is subject to judicial review; where the immediate family is unable to care for a child with disabilities, undertake every effort to provide alternative care within the wider family, and failing that, within the community in a family setting."
24,Crpd Article 24 ,Has crpd text,"  1. States Parties recognize the right of persons with disabilities to education. With a view to realizing this right without discrimination and on the basis of equal opportunity, States Parties shall ensure an inclusive education system at all levels and lifelong learning directed to:  
a. The full development of human potential and sense of dignity and self-worth, and the strengthening of respect for human rights, fundamental freedoms and human diversity;
b. The development by persons with disabilities of their personality, talents and creativity, as well as their mental and physical abilities, to their fullest potential;
c. Enabling persons with disabilities to participate effectively in a free society.
2. In realizing this right, States Parties shall ensure that:
a) Persons with disabilities are not excluded from the general education system on the basis of disability, and that children with disabilities are not excluded from free and compulsory primary education, or from secondary education, on the basis of disability;
b) Persons with disabilities can access an inclusive, quality and free primary education and secondary education on an equal basis with others in the communities in which they live;
c) Reasonable accommodation of the individual?s requirements is provided;
d) Persons with disabilities receive the support required, within the general education system, to facilitate their effective education;
e) Effective individualized support measures are provided in environments that maximize academic and social development, consistent with the goal of full inclusion.
3. States Parties shall enable persons with disabilities to learn life and social development skills to facilitate their full and equal participation in education and as members of the community. To this end, States Parties shall take appropriate measures, including:
a) Facilitating the learning of Braille, alternative script, augmentative and alternative modes, means and formats of communication and orientation and mobility skills, and facilitating peer support and mentoring;
b) Facilitating the learning of sign language and the promotion of the linguistic identity of the deaf community;
c) Ensuring that the education of persons, and in particular children, who are blind, deaf or deafblind, is delivered in the most appropriate languages and modes and means of communication for the individual, and in environments which maximize academic and social development.
4. In order to help ensure the realization of this right, States Parties shall take appropriate measures to employ teachers, including teachers with disabilities, who are qualified in sign language and/or Braille, and to train professionals and staff who work at all levels of education. Such training shall incorporate disability awareness and the use of appropriate augmentative and alternative modes, means and formats of communication, educational techniques and materials to support persons with disabilities.
5. States Parties shall ensure that persons with disabilities are able to access general tertiary education, vocational training, adult education and lifelong learning without discrimination and on an equal basis with others. To this end, States Parties shall ensure that reasonable accommodation is provided to persons with disabilities.
"
24,Crpd Article 24 ,Has subtopic,equity 
22,equity ,has definition (disability wiki) ,the quality of being fair and impartial
22,equity,has wiki data code ,missing
24,Crpd Article 24 ,Has subtopic,education 
,education ,Mentioned in crpd article,24
24,education ,Has wikidata code,Q8434
24,education ,Has wikidata definition-extension,extremely lacking - ask Rachel for advice 
24,education ,Has wikidata definition,learning in which knowledge and skills are transferred through teaching
